commit	valid_loss	memory_gb	status	description
05a278d	3.488469	71.0	discard	E169 readout adapter (identity-init d x d before tied output); WORSE +0.0119 (DOF+token cost; tying+out_scale sufficient; additions saturated) -> reset E167. best=3.476619
70ea0e8	3.483396	71.0	discard	E170 soft-cap C 15->20 @ new regime; WORSE +0.0068 (C15 robust/regime-independent) -> reset E167. best=3.476619
cab15d3	NA	NA	crash	E171 torch.compile mode=max-autotune; CRASH (inductor scheduler bug: FusedMixOrderReductions assertion). Unusable on this model -> reset E167. best=3.476619
fb85bc9	3.500878	71.0	discard	E172 Muon momentum 0.95->0.98 @ new regime; MUCH WORSE +0.024 (0.95 robust) -> reset E167. best=3.476619
93a2aa4	3.515549	71.0	discard	E173 batch 160->168 @ 8h; MUCH WORSE +0.039 (throughput cliff: only 148M tokens, 168 not kernel-aligned); batch 160 firmly optimal -> reset E167. best=3.476619
a3d492c	3.484674	71.0	discard	E174 alpha_min 3e-5->1e-3; WORSE +0.008 (final cooldown to ~0 helps; linear win was mid-late shape not floor) -> reset E167. best=3.476619
75dcdee	3.488002	75.7	discard	E175 d832/8h/d_ff1872 fine width; WORSE +0.011 (153M tokens token-starved); d768 definitively width peak (640/832/896 all worse) -> reset E167. best=3.476619
795842a_rerun	3.475880	confirm	E176 rerun of E167 (best): 3.475880 (vs 3.476619). Best config solidly reproducible ~3.476. Head stays E167
75f5eac	3.477114	71.0	discard	E177 RoPE theta 10000->20000 @ d_k96; 3.477114 ~= tied (within noise); theta 10000 robust -> keep E167. best ~3.476
6b74660	3.484439	71.0	discard	E178 partial RoPE (50% rotary); WORSE +0.008 (full RoPE better; attention variants saturated) -> reset E167. best ~3.476
48f1c5b	3.505454	71.0	discard	E179 Muon weight_decay 0.1->0; MUCH WORSE +0.029 (2D-weight WD is a key regularizer, Muon does NOT self-regularize enough) -> reset E167. best ~3.476
de56c56	3.475408	71.0	keep	E180 AdamW beta1 0.9->0.85 @ batch160; 3.475408 marginally best (within noise of 0.9; both fine). keep best-obs. new best 3.475408
9b67b64	3.472666	71.0	keep	E181 AdamW beta1 0.85->0.8 @ batch160; WIN -0.0027 (monotonic 0.9->0.85->0.8; beta1 optimum shifted DOWN with bigger batch = less noise). new best 3.472666
65d98e1	3.470259	71.0	keep	E182 AdamW beta1 0.8->0.75 @ batch160; WIN -0.0024 (monotonic 0.9->0.75; big batch wants responsive momentum). new best 3.470259
034af1b	3.468878	71.0	keep	E183 AdamW beta1 0.75->0.7 @ batch160; -0.0014 (monotonic 0.9->0.7 cumulative -0.0077, gains shrinking). new best 3.468878
886baac	3.467011	71.0	keep	E184 AdamW beta1 0.7->0.6 @ batch160; -0.0019 (monotonic 0.9->0.6 cumulative -0.009). new best 3.467011
c99fc08	3.466811	71.0	keep	E185 AdamW beta1 0.6->0.5 @ batch160; -0.0002 (FLAT, trend flattening; beta1 optimum plateau ~0.5-0.6). new best 3.466811
cc5b5a7	3.473500	71.0	discard	E186 AdamW beta1 0.5->0.4 @ batch160; WORSE +0.0067 (turnover); beta1 optimum ~0.5 (shifted from 0.9 @ batch96, cumulative -0.0092) -> reset E185. best=3.466811
faa0543	3.473949	71.0	discard	E187 AdamW beta2 0.99->0.95 @ batch160/beta1 0.5; WORSE +0.0071 (2nd moment robust at 0.99, unlike beta1) -> reset E185. best=3.466811
8ce6517	3.467725	71.0	discard	E188 Muon momentum 0.95->0.9 @ batch160/beta1 0.5; +0.0009 (within noise, 0.95 best); Muon mom did NOT shift (orthogonalizes buffer, wants smooth dir) unlike beta1 -> reset E185. best=3.466811
7abb0ec	3.468504	71.0	discard	E189 alpha_max 2e-2->2.5e-2 @ beta1 0.5; +0.0017 (within noise, 2e-2 best; robust, didn't shift w/ beta1). AdamW fully re-opt (only beta1 shifted 0.9->0.5) -> reset E185. best=3.466811
c99fc08_rerun	3.466371	confirm	E190 rerun of E185 (best, beta1 0.5): 3.466371 (vs 3.466811). Best config confirmed ~3.466. Head stays E185
73ee021	3.470291	71.0	discard	E191 d_ff 1728->1856 @ full regime; WORSE ~+0.004 (token cost); d_ff 1728 robust -> reset E185. best ~3.466
85f735f	3.468500	71.0	discard	E192 muon_lr 0.025->0.03 @ beta1 0.5; +0.002 (within noise, 0.025 best); robust, didn't shift w/ beta1 -> reset E185. best ~3.466
b86f2ee	3.475190	71.0	discard	E193 warmup 3%->1.5% @ beta1 0.5; WORSE +0.009 (responsive beta1 needs full warmup; was tied at beta1 0.9) -> reset E185. best ~3.466
4522698	3.471245	71.0	discard	E194 cosine decay @ final regime (beta1 0.5); WORSE ~+0.005 (linear-decay win HOLDS at beta1 0.5, regime-independent) -> reset E185. best ~3.466
40878e3	3.468448	71.0	discard	E195 power-law gamma=1.5 @ beta1 0.5; +0.002 (within noise, ~=linear; decay-power plateau >=1 holds at beta1 0.5) -> reset E185. best ~3.466
6fc12d0	3.474596	71.0	discard	E196 d_ff 1728->1600 @ full regime; WORSE ~+0.008; d_ff 1728 firmly peak (1600/1856/1920 all worse) -> reset E185. best ~3.466
f13ed21	3.467454	71.0	discard	E197 AdamW eps 1e-8->1e-7 @ beta1 0.5; +0.0009 (within noise, 1e-8 best); eps robust -> reset E185. best ~3.466
12c732e	3.469131	71.0	discard	E198 muon_lr 0.025->0.02 @ beta1 0.5; +0.0027 (0.025 firmly peak: 0.02 & 0.03 both worse, sharper at beta1 0.5) -> reset E185. best ~3.466
f8116df	3.477390	71.0	discard	E199 weight_decay 0.1->0.15 @ beta1 0.5; WORSE +0.011 (WD 0.1 robust, regime-independent) -> reset E185. best ~3.466
6e3c56a	3.467539	71.0	discard	E200 beta1 0.5->0.55; +0.0009 (within noise, beta1 0.5 peak: 0.4 worse, 0.55/0.6 marginally worse) -> reset E185. MILESTONE: best ~3.466 from 5.281 baseline over 200 experiments
3c1ff79	3.470412	75.1	discard	E201 decoupled value dim d_v 96->128; WORSE ~+0.004 (169M tokens, token cost; value-pathway benefit is INFORMATION not raw capacity; attention-side saturated) -> reset E185. best ~3.466
dc813b2	3.477830	71.0	discard	E202 batch 160->128 @ beta1 0.5; WORSE +0.011 (168M tokens); batch 160 confirmed at final regime -> reset E185. best ~3.466
(9L)	NA	NA	crash	E203 num_layers 9; CRASH (IndexError - U-net skip assumes even layers, 9L decoder>skip_weights). Not a real result; 9L low-EV (between 8/10) -> reset E185. best ~3.466
c23080a	3.471295	71.0	discard	E204 remove gated attention; WORSE ~+0.005 (despite +tokens 179M; gate is a genuine win, validated at final regime) -> reset E185. best ~3.466
e331dbd	3.469206	71.0	discard	E205 batch 160->144 @ beta1 0.5; +0.0026 (173M tokens, marginally worse); batch 160 firmly peak (128 worse, 144 worse, 168/176 cliff) -> reset E185. best ~3.466
70e13d3	3.469165	71.0	discard	E206 Muon ns_steps 5->4; +0.0026 (marginally worse, under-ortho; no token gain since bmm-NS cheap); ns5 confirmed -> reset E185. best ~3.466
dee5044	3.474854	71.0	discard	E207 sandwich norm (post-sublayer RMSNorm); WORSE ~+0.008 (model already well-normalized; even norm additions fail - fully saturated) -> reset E185. best ~3.466
c8181a4	3.468357	71.0	discard	E208 emb init std 0.02->0.03; +0.0017 (within noise, absorbed by learnable scales); 0.02 confirmed -> reset E185. best ~3.466
0af3dad	3.466737	71.0	discard	E209 RMSNorm eps 1e-5->1e-6; +0.0001 (negligible, eps<<RMS^2); 1e-5 confirmed -> reset E185. best ~3.466. CONVERGED.
